; This ASCII spreadsheet file contains the y- and z-coordinates
; of the GRID-holes in the beam coordinate system used by the STARK-code
; (this is the coordinate system with the x-axis on the beam axis and
;  the y-axis in the xy-plane of the machine coordinate system).
    0.0742500   -0.0305000
   -0.0742500   -0.0645000
   -0.0577500   -0.0645000
   -0.0412500   -0.0645000
   -0.0247500   -0.0645000
  -0.00825000   -0.0645000
   0.00825000   -0.0645000
    0.0247500   -0.0645000
    0.0412500   -0.0645000
    0.0577500   -0.0645000
    0.0742500   -0.0645000
   -0.0742500   -0.0985000
   -0.0577500   -0.0985000
   -0.0412500   -0.0985000
   -0.0247500   -0.0985000
  -0.00825000   -0.0985000
   0.00825000   -0.0985000
    0.0247500   -0.0985000
    0.0412500   -0.0985000
    0.0577500   -0.0985000
    0.0742500   -0.0985000
   -0.0742500    -0.132500
   -0.0577500    -0.132500
   -0.0412500    -0.132500
   -0.0247500    -0.132500
  -0.00825000    -0.132500
   0.00825000    -0.132500
    0.0247500    -0.132500
    0.0412500    -0.132500
    0.0577500    -0.132500
    0.0742500    -0.132500
   -0.0742500    -0.166500
   -0.0577500    -0.166500
   -0.0412500    -0.166500
   -0.0247500    -0.166500
  -0.00825000    -0.166500
   0.00825000    -0.166500
    0.0247500    -0.166500
    0.0412500    -0.166500
    0.0577500    -0.166500
    0.0742500    -0.166500
   -0.0742500    -0.200500
   -0.0577500    -0.200500
   -0.0412500    -0.200500
   -0.0247500    -0.200500
  -0.00825000    -0.200500
   0.00825000    -0.200500
    0.0247500    -0.200500
    0.0412500    -0.200500
    0.0577500    -0.200500
    0.0742500    -0.200500

